player,position,team,birthday
Jonathan Taylor,RB,IND,1999-01-19
Christian McCaffrey,RB,CAR,1996-06-07
Cooper Kupp,WR,LAR,1993-06-15
Saquon Barkley,RB,NYG,1997-02-09
Justin Jefferson,WR,MIN,1999-06-16
Stefon Diggs,WR,BUF,1993-11-29
Ja'Marr Chase,WR,CIN,2000-03-01
Joe Mixon,RB,CIN,1996-07-24
Dalvin Cook,RB,MIN,1995-08-10
Davante Adams,WR,LV,1992-12-24
D'Andre Swift,RB,DET,1999-01-14
Amon-Ra St. Brown,WR,DET,1999-10-24
Aaron Jones,RB,GB,1994-12-02
Derrick Henry,RB,TEN,1994-01-04
A.J. Brown,WR,PHI,1997-06-30
Austin Ekeler,RB,LAC,1995-05-17
Mark Andrews,TE,BAL,1995-09-06
Leonard Fournette,RB,TB,1995-01-18
Nick Chubb,RB,CLE,1995-12-27
Travis Kelce,TE,KC,1989-10-05
Tyreek Hill,WR,MIA,1994-03-01
Michael Pittman Jr.,WR,IND,1997-10-05
Javonte Williams,RB,DEN,2000-04-25
Jaylen Waddle,WR,MIA,1998-11-25
Najee Harris,RB,PIT,1998-03-09
Deebo Samuel,WR,SF,1996-01-15
Alvin Kamara,RB,NO,1995-07-25
Mike Evans,WR,TB,1993-08-21
Courtland Sutton,WR,DEN,1995-10-10
Christian Kirk,WR,JAC,1996-11-18
Tee Higgins,WR,CIN,1999-01-18
Mike Williams,WR,LAC,1994-10-04
Josh Allen,QB,BUF,1996-05-21
James Conner,RB,ARI,1995-05-05
James Robinson,RB,JAC,1998-08-09
Kyle Pitts,TE,ATL,2000-10-06
Michael Thomas,WR,NO,1993-03-03
AJ Dillon,RB,GB,1998-05-02
Cordarrelle Patterson,RB,ATL,1991-03-17
Kareem Hunt,RB,CLE,1995-08-06
Gabe Davis,WR,BUF,1999-04-01
Darren Waller,TE,LV,1992-09-13
Clyde Edwards-Helaire,RB,KC,1999-04-11
Drake London,WR,ATL,2001-07-24
Rashod Bateman,WR,BAL,1999-11-29
CeeDee Lamb,WR,DAL,1999-04-08
Diontae Johnson,WR,PIT,1996-07-05
Miles Sanders,RB,PHI,1997-05-01
Keenan Allen,WR,LAC,1992-04-27
Marquise Brown,WR,ARI,1997-06-04
Terry McLaurin,WR,WAS,1995-09-15
Travis Etienne Jr.,RB,JAC,1999-01-26
Breece Hall,RB,NYJ,2001-05-31
Brandin Cooks,WR,HOU,1993-09-25
Rhamondre Stevenson,RB,NE,1998-02-23
George Kittle,TE,SF,1993-10-09
Devin Singletary,RB,BUF,1997-09-03
DJ Moore,WR,CAR,1997-04-14
Dallas Goedert,TE,PHI,1995-01-03
Lamar Jackson,QB,BAL,1997-01-07
Dameon Pierce,RB,HOU,2000-02-19
Josh Jacobs,RB,LV,1998-02-11
Jalen Hurts,QB,PHI,1998-08-07
Jeff Wilson Jr.,RB,SF,1995-11-16
David Montgomery,RB,CHI,1997-06-07
J.K. Dobbins,RB,BAL,1998-12-17
Ezekiel Elliott,RB,DAL,1995-07-22
Patrick Mahomes II,QB,KC,1995-09-17
Antonio Gibson,RB,WAS,1998-06-23
Garrett Wilson,WR,NYJ,2000-07-22
Chase Edmonds,RB,MIA,1996-04-13
Tony Pollard,RB,DAL,1997-04-30
Jerry Jeudy,WR,DEN,1999-04-24
DK Metcalf,WR,SEA,1997-12-14
JuJu Smith-Schuster,WR,KC,1996-11-22
Darrell Henderson Jr.,RB,LAR,1997-08-19
Cam Akers,RB,LAR,1999-06-22
Khalil Herbert,RB,CHI,1998-04-21
Rashaad Penny,RB,SEA,1996-02-02
Amari Cooper,WR,CLE,1994-06-17
Jamaal Williams,RB,DET,1995-04-03
DeVonta Smith,WR,PHI,1998-11-14
Dalton Schultz,TE,DAL,1996-07-11
Justin Herbert,QB,LAC,1998-03-10
Kyler Murray,QB,ARI,1997-08-07
Chris Godwin,WR,TB,1996-02-27
Michael Carter,RB,NYJ,1999-05-07
Damien Harris,RB,NE,1997-02-11
Zach Ertz,TE,ARI,1990-11-10
Joe Burrow,QB,CIN,1996-12-10
Elijah Moore,WR,NYJ,2000-03-27
Chris Olave,WR,NO,2000-06-27
Pat Freiermuth,TE,PIT,1998-10-25
Brandon Aiyuk,WR,SF,1998-03-17
Allen Lazard,WR,GB,1995-12-11
Allen Robinson II,WR,LAR,1993-08-24
Adam Thielen,WR,MIN,1990-08-22
Darnell Mooney,WR,CHI,1997-10-29
Melvin Gordon III,RB,DEN,1993-04-13
Tyler Lockett,WR,SEA,1992-09-28
Hunter Renfrow,WR,LV,1995-12-21
Alexander Mattison,RB,MIN,1998-06-19
Jahan Dotson,WR,WAS,2000-03-22
Kirk Cousins,QB,MIN,1988-08-19
Tom Brady,QB,TB,1977-08-03
Brian Robinson Jr.,RB,WAS,1999-03-22
T.J. Hockenson,TE,DET,1997-07-03
Derek Carr,QB,LV,1991-03-28
Tua Tagovailoa,QB,MIA,1998-03-02
Matthew Stafford,QB,LAR,1988-02-07
Trevor Lawrence,QB,JAC,1999-10-06
Treylon Burks,WR,TEN,2000-03-23
Raheem Mostert,RB,MIA,1992-04-09
DeAndre Hopkins,WR,ARI,1992-06-06
Nyheim Hines,RB,IND,1996-11-12
Russell Wilson,QB,DEN,1988-11-29
Aaron Rodgers,QB,GB,1983-12-02
Elijah Mitchell,RB,SF,1998-05-02
Curtis Samuel,WR,WAS,1996-08-11
Russell Gage,WR,TB,1996-01-22
Ken Walker III,RB,SEA,2000-10-20
David Njoku,TE,CLE,1996-07-10
Tyler Boyd,WR,CIN,1994-11-15
Jakobi Meyers,WR,NE,1996-11-09
Romeo Doubs,WR,GB,2000-04-13
George Pickens,WR,PIT,2001-03-04
Jarvis Landry,WR,NO,1992-11-28
Kenneth Gainwell,RB,PHI,1999-03-14
Julio Jones,WR,TB,1989-02-08
Isaiah McKenzie,WR,BUF,1995-04-09
Tyler Allgeier,RB,ATL,2000-04-15
Rachaad White,RB,TB,1999-01-12
Chase Claypool,WR,PIT,1998-07-07
Justin Fields,QB,CHI,1999-03-05
Tyler Higbee,TE,LAR,1993-01-01
James Cook,RB,BUF,1999-09-25
Robert Woods,WR,TEN,1992-04-10
Joshua Palmer,WR,LAC,1999-09-22
Jared Goff,QB,DET,1994-10-14
Dawson Knox,TE,BUF,1996-11-14
Kadarius Toney,WR,NYG,1999-01-27
Isiah Pacheco,RB,KC,2000-03-02
Eno Benjamin,RB,ARI,1999-04-13
Carson Wentz,QB,WAS,1992-12-30
Tyrion Davis-Price,RB,SF,2000-10-23
Jaylen Warren,RB,PIT,1998-11-01
Jameis Winston,QB,NO,1994-01-06
Marcus Mariota,QB,ATL,1993-10-30
Marquez Valdes-Scantling,WR,KC,1994-10-10
Jerick McKinnon,RB,KC,1992-05-03
J.D. McKissic,RB,WAS,1993-08-15
Gerald Everett,TE,LAC,1994-06-25
Rex Burkhead,RB,HOU,1990-07-02
DeVante Parker,WR,NE,1996-03-16
Skyy Moore,WR,KC,2000-09-10
Logan Thomas,TE,WAS,1991-07-01
Darrel Williams,RB,ARI,1995-04-15
Rondale Moore,WR,ARI,2000-06-09
Samaje Perine,RB,CIN,1995-09-16
Hayden Hurst,TE,CIN,1993-08-24
Daniel Jones,QB,NYG,1997-05-27
Dak Prescott,QB,DAL,1993-07-29
Michael Gallup,WR,DAL,1996-03-04
Zay Jones,WR,JAC,1995-03-30
Mark Ingram II,RB,NO,1989-12-21
Matt Ryan,QB,IND,1985-05-17
Irv Smith Jr.,TE,MIN,1998-08-09
Kenyan Drake,RB,BAL,1994-01-26
Sony Michel,RB,LAC,1995-02-17
Justin Tucker,K,BAL,1989-11-21
Ryan Tannehill,QB,TEN,1988-07-27
Tyler Conklin,TE,NYJ,1995-07-30
Nico Collins,WR,HOU,1999-03-19
Tyler Bass,K,BUF,1997-02-14
Ameer Abdullah,RB,LV,1993-06-13
Daniel Carlson,K,LV,1995-01-23
Mecole Hardman,WR,KC,1998-03-12
Matt Gay,K,LAR,1994-03-15
Evan McPherson,K,CIN,1999-07-21
Harrison Butker,K,KC,1995-07-14
Ryan Succop,K,TB,1986-09-19
Wan'Dale Robinson,WR,NYG,2001-01-05
Zack Moss,RB,BUF,1997-12-15
Christian Watson,WR,GB,1999-05-12
Mac Jones,QB,NE,1998-09-05
Zamir White,RB,LV,1999-09-18
K.J. Osborn,WR,MIN,1997-06-10
Robbie Anderson,WR,CAR,1993-05-09
Jameson Williams,WR,DET,2001-03-26
D.J. Chark Jr.,WR,DET,1996-09-23
Corey Davis,WR,NYJ,1995-01-11
Evan Engram,TE,JAC,1994-09-02
Matt Prater,K,ARI,1984-08-10
Davis Mills,QB,HOU,1998-10-21
Deshaun Watson,QB,CLE,1995-09-14
Dontrell Hilliard,RB,TEN,1995-02-26
Damien Williams,RB,ATL,1992-04-03
Isaiah Spiller,RB,LAC,2001-08-09
D'Ernest Johnson,RB,CLE,1996-02-27
Baker Mayfield,QB,CAR,1995-04-14
Chris Evans,RB,CIN,1997-10-05
Parris Campbell,WR,IND,1997-07-16
D'Onta Foreman,RB,CAR,1996-04-24
Albert Okwuegbunam,TE,DEN,1998-04-25
Cole Kmet,TE,CHI,1999-03-10
Boston Scott,RB,PHI,1995-04-27
Robert Tonyan,TE,GB,1994-04-30
Zach Wilson,QB,NYJ,1999-08-03
Trestan Ebner,RB,CHI,1999-01-02
Joshua Kelley,RB,LAC,1997-11-20
Jimmy Garoppolo,QB,SF,1991-11-02
Jake Elliott,K,PHI,1995-01-21
K.J. Hamler,WR,DEN,1999-07-08
Marvin Jones Jr.,WR,JAC,1990-03-12
Alec Pierce,WR,IND,2000-05-02
Gus Edwards,RB,BAL,1995-04-13
Wil Lutz,K,NO,1994-07-07
Jason Sanders,K,MIA,1995-11-16
Kyle Philips,WR,TEN,1999-06-17
Mike Davis,RB,BAL,1993-02-19
Donovan Peoples-Jones,WR,CLE,1999-02-19
Matt Breida,RB,NYG,1995-02-28
Robbie Gould,K,SF,1982-12-06
Geno Smith,QB,SEA,1990-10-10
Kenny Pickett,QB,PIT,1998-06-06
Younghoe Koo,K,ATL,1994-08-03
Hunter Henry,TE,NE,1994-12-07
Jacoby Brissett,QB,CLE,1992-12-11
Brandon McManus,K,DEN,1991-07-25
Jalen Tolbert,WR,DAL,1999-02-27
Craig Reynolds,RB,DET,1996-06-15
Sammy Watkins,WR,GB,1993-06-14
Jamison Crowder,WR,BUF,1993-06-17
