Player,Position,Team,Birthday,InjuryStatus
Bogdan Bogdanovic,SG,ATL,1992/08/18,Out
Clint Capela,C,ATL,1994/05/18,Healthy
John Collins,PF,ATL,1997/09/23,Healthy
Jarrett Culver,G,ATL,1999/02/20,Healthy
Trent Forrest,G,ATL,1998/06/12,Healthy
AJ Griffin,F,ATL,2003/08/25,Healthy
Aaron Holiday,G,ATL,1996/09/30,Healthy
Justin Holiday,SF,ATL,1989/04/05,Healthy
De'Andre Hunter,SF,ATL,1997/12/02,Healthy
Jalen Johnson,SF,ATL,2001/12/18,Day-To-Day
Frank Kaminsky,PF,ATL,1993/04/04,Healthy
Vit Krejci,G,ATL,2000/06/19,Healthy
Tyrese Martin,F,ATL,1999/03/07,Healthy
Dejounte Murray,SG,ATL,1996/09/19,Healthy
Onyeka Okongwu,PF,ATL,2000/12/11,Healthy
Trae Young,PG,ATL,1998/09/19,Healthy
Malcolm Brogdon,PG,BOS,1992/12/11,Healthy
Jaylen Brown,SG,BOS,1996/10/24,Day-To-Day
JD Davison,SG,BOS,2002/10/03,Healthy
Danilo Gallinari,PF,BOS,1988/08/08,Out
Blake Griffin,PF,BOS,1989/03/16,Healthy
Sam Hauser,SF,BOS,1997/12/08,Healthy
Al Horford,C,BOS,1986/06/03,Healthy
Justin Jackson,SF,BOS,1995/03/28,Healthy
Mfiondu Kabengele,C,BOS,1997/08/14,Healthy
Luke Kornet,C,BOS,1995/07/15,Healthy
Payton Pritchard,PG,BOS,1998/01/28,Healthy
Marcus Smart,PG,BOS,1994/03/06,Healthy
Jayson Tatum,SF,BOS,1998/03/03,Healthy
Noah Vonleh,PF,BOS,1995/08/24,Healthy
Derrick White,PG,BOS,1994/07/02,Healthy
Grant Williams,PF,BOS,1998/11/30,Healthy
Robert Williams III,C,BOS,1997/10/17,Out
Nic Claxton,PF,BKN,1999/04/17,Healthy
Seth Curry,SG,BKN,1990/08/23,Healthy
David Duke Jr.,SF,BKN,1999/10/13,Day-To-Day
Kevin Durant,PF,BKN,1988/09/29,Healthy
Kessler Edwards,SF,BKN,2000/08/09,Healthy
Joe Harris,SF,BKN,1991/09/06,Healthy
Kyrie Irving,PG,BKN,1992/03/23,Healthy
Patty Mills,PG,BKN,1988/08/11,Healthy
Markieff Morris,PF,BKN,1989/09/02,Healthy
Royce O'Neale,PF,BKN,1993/06/05,Healthy
Day'Ron Sharpe,C,BKN,2001/11/06,Healthy
Ben Simmons,PG,BKN,1996/07/20,Out
Edmond Sumner,PG,BKN,1995/12/31,Healthy
Cam Thomas,SG,BKN,2001/10/13,Healthy
T.J. Warren,SF,BKN,1993/09/05,Out
Yuta Watanabe,SF,BKN,1994/10/13,Out
Alondes Williams,G,BKN,1999/06/19,Out
LaMelo Ball,PG,CHA,2001/08/22,Out
James Bouknight,SG,CHA,2000/09/18,Healthy
Gordon Hayward,SF,CHA,1990/03/23,Out
Kai Jones,PF,CHA,2001/01/19,Healthy
Theo Maledon,PG,CHA,2001/06/12,Healthy
Cody Martin,SF,CHA,1995/09/28,Out
Jalen McDaniels,PF,CHA,1998/01/31,Healthy
Bryce McGowens,G,CHA,2002/11/08,Healthy
Kelly Oubre Jr.,SG,CHA,1995/12/09,Healthy
Mason Plumlee,C,CHA,1990/03/05,Healthy
Nick Richards,C,CHA,1997/11/29,Healthy
Terry Rozier,SG,CHA,1994/03/17,Day-To-Day
Dennis Smith Jr.,PG,CHA,1997/11/25,Out
P.J. Washington,PF,CHA,1998/08/23,Healthy
