Player,Position,Team,Birthday,InjuryStatus
Robbie Anderson,WR,ARI,1993/05/09,Healthy
Stephen Anderson,TE,ARI,1993/01/30,Healthy
Kelvin Beachum,OT,ARI,1989/06/08,Healthy
Marquise Brown,WR,ARI,1997/06/04,Healthy
Corey Clement,RB,ARI,1994/11/02,Healthy
James Conner,RB,ARI,1995/05/05,Healthy
Pharoh Cooper,WR,ARI,1995/03/07,Healthy
Rashaad Coward,OT,ARI,1994/11/06,Healthy
Julien Davenport,OT,ARI,1995/01/09,Healthy
Wyatt Davis,G,ARI,1999/02/17,Healthy
Greg Dortch,WR,ARI,1998/05/29,Out
Zach Ertz,TE,ARI,1990/11/10,Injured Reserve
Cody Ford,G,ARI,1996/12/28,Healthy
Max Garcia,G,ARI,1991/11/09,Healthy
A.J. Green,WR,ARI,1988/07/31,Healthy
Sean Harlow,G,ARI,1995/03/28,Healthy
Marquis Hayes,G,ARI,1999/02/14,Injured Reserve
Will Hernandez,G,ARI,1995/09/02,Injured Reserve
DeAndre Hopkins,WR,ARI,1992/06/06,Healthy
Rodney Hudson,C,ARI,1989/07/12,Injured Reserve
D.J. Humphries,OT,ARI,1993/12/28,Injured Reserve
Keaontay Ingram,RB,ARI,1999/10/26,Healthy
Josh Jones,OT,ARI,1997/06/22,Healthy
Koda Martin,G,ARI,1995/08/21,Healthy
Trey McBride,TE,ARI,1999/11/22,Healthy
Colt McCoy,QB,ARI,1986/09/05,Healthy
Trace McSorley,QB,ARI,1995/08/23,Out
Joshua Miles,OT,ARI,1996/01/04,Injured Reserve
Rondale Moore,WR,ARI,2000/06/09,Out
Kyler Murray,QB,ARI,1997/08/07,Healthy
Chris Pierce Jr.,TE,ARI,1998/11/02,Healthy
Billy Price,C,ARI,1995/10/12,Healthy
Justin Pugh,G,ARI,1990/08/15,Injured Reserve
Bernhard Seikovits,TE,ARI,1997/07/24,Healthy
Lachavious Simmons,OT,ARI,1996/09/12,Out
Lecitus Smith,G,ARI,1998/07/13,Healthy
Badara Traore,OT,ARI,1997/03/12,Healthy
Antoine Wesley,WR,ARI,1997/10/22,Injured Reserve
Darrel Williams,RB,ARI,1995/04/15,Injured Reserve
Maxx Williams,TE,ARI,1994/04/12,Healthy
Ty'Son Williams,RB,ARI,1996/09/04,Healthy
Javon Wims,WR,ARI,1994/09/11,Healthy
Zach Allen,DE,ARI,1997/08/20,Healthy
Budda Baker,S,ARI,1996/01/10,Healthy
Chris Banjo,S,ARI,1990/02/26,Healthy
Andrew Brown,DT,ARI,1995/12/30,Healthy
Zaven Collins,LB,ARI,1999/05/19,Healthy
Tae Daley,S,ARI,1998/10/08,Questionable
Victor Dimukeje,LB,ARI,1999/11/18,Healthy
Leki Fotu,DT,ARI,1998/08/23,Healthy
Dennis Gardeck,LB,ARI,1994/08/09,Healthy
Markus Golden,LB,ARI,1991/03/13,Healthy
Kamu Grugier-Hill,LB,ARI,1994/05/16,Healthy
Nate Hairston,CB,ARI,1994/06/30,Healthy
Antonio Hamilton,CB,ARI,1993/01/24,Questionable
Trysten Hill,DT,ARI,1998/03/25,Healthy
JuJu Hughes,S,ARI,1998/07/19,Healthy
Manny Jones,DT,ARI,1999/06/06,Healthy
Rashard Lawrence,DT,ARI,1998/08/27,Injured Reserve
Jonathan Ledbetter,DE,ARI,1997/09/12,Healthy
Jesse Luketa,LB,ARI,1999/01/15,Healthy
Christian Matthew,CB,ARI,1996/10/26,Healthy
Trayvon Mullen,CB,ARI,1997/09/20,Healthy
Byron Murphy Jr.,CB,ARI,1998/01/18,Out
Ben Niemann,LB,ARI,1995/07/27,Healthy
Myjai Sanders,LB,ARI,1998/07/12,Healthy
Isaiah Simmons,LB,ARI,1998/07/26,Healthy
Cameron Thomas,LB,ARI,2000/01/07,Healthy
Josh Thomas,S,ARI,1996/11/19,Healthy
Jalen Thompson,S,ARI,1998/07/18,Healthy
