Player,Position,Team,Birthday,InjuryStatus
Sam Carrick,C,ANA,1992/02/04,Healthy
Glenn Gawdin,C,ANA,1997/03/25,Healthy
Derek Grant,C,ANA,1990/04/20,Healthy
Adam Henrique,C,ANA,1990/02/06,Healthy
Isac Lundestrom,C,ANA,1999/11/06,Healthy
Mason McTavish,C,ANA,2003/01/30,Healthy
Ryan Strome,C,ANA,1993/01/11,Healthy
Trevor Zegras,C,ANA,2001/03/20,Healthy
Max Comtois,LW,ANA,1999/01/08,Injured Reserve
Max Jones,LW,ANA,1998/02/17,Healthy
Pavol Regenda,LW,ANA,1999/12/07,Healthy
Brett Leason,RW,ANA,1999/04/30,Healthy
Jakob Silfverberg,RW,ANA,1990/10/13,Healthy
Troy Terry,RW,ANA,1997/09/10,Healthy
Frank Vatrano,RW,ANA,1994/03/14,Healthy
Nathan Beaulieu,D,ANA,1992/12/05,Healthy
Simon Benoit,D,ANA,1998/09/19,Healthy
Jamie Drysdale,D,ANA,2002/04/08,Injured Reserve
Cam Fowler,D,ANA,1991/12/05,Healthy
John Klingberg,D,ANA,1992/08/14,Out
Dmitry Kulikov,D,ANA,1990/10/29,Healthy
Kevin Shattenkirk,D,ANA,1989/01/29,Healthy
Austin Strand,D,ANA,1997/02/17,Healthy
Colton White,D,ANA,1997/05/03,Healthy
John Gibson,G,ANA,1993/07/14,Healthy
Anthony Stolarz,G,ANA,1994/01/20,Healthy
Nick Bjugstad,C,ARI,1992/07/17,Healthy
Travis Boyd,C,ARI,1993/09/14,Healthy
Laurent Dauphin,C,ARI,1995/03/27,Healthy
Curtis Douglas,C,ARI,2000/03/06,Healthy
Barrett Hayton,C,ARI,2000/06/09,Healthy
Jack McBain,C,ARI,2000/01/06,Healthy
Liam O'Brien,C,ARI,1994/07/29,Healthy
Nick Schmaltz,C,ARI,1996/02/23,Healthy
Lawson Crouse,LW,ARI,1997/06/23,Healthy
Matias Maccelli,LW,ARI,2000/10/14,Healthy
Nick Ritchie,LW,ARI,1995/12/05,Healthy
Christian Fischer,RW,ARI,1997/04/15,Healthy
Dylan Guenther,RW,ARI,2003/04/10,Healthy
Zack Kassian,RW,ARI,1991/01/24,Healthy
Clayton Keller,RW,ARI,1998/07/29,Healthy
Josh Brown,D,ARI,1994/01/21,Day-To-Day
Jakob Chychrun,D,ARI,1998/03/31,Healthy
Shayne Gostisbehere,D,ARI,1993/04/20,Healthy
Dysin Mayo,D,ARI,1996/08/17,Healthy
J.J. Moser,D,ARI,2000/01/06,Healthy
Patrik Nemeth,D,ARI,1992/02/08,Healthy
Troy Stecher,D,ARI,1994/04/07,Healthy
Juuso Valimaki,D,ARI,1998/10/06,Healthy
Connor Ingram,G,ARI,1997/03/31,Healthy
Karel Vejmelka,G,ARI,1996/05/25,Healthy
Patrice Bergeron,C,BOS,1985/07/24,Healthy
Charlie Coyle,C,BOS,1992/03/02,Healthy
Matt Filipe,C,BOS,1997/12/31,Injured Reserve
Trent Frederic,C,BOS,1998/02/11,Healthy
David Krejci,C,BOS,1986/04/28,Healthy
Craig Smith,C,BOS,1989/09/05,Out
Pavel Zacha,C,BOS,1997/04/06,Healthy
Jake DeBrusk,LW,BOS,1996/10/17,Healthy
